terrain,n_pairs,rl_success_n,rl_success_pct,rl_wilson95_low_pct,rl_wilson95_high_pct,heuristic_success_n,heuristic_success_pct,heuristic_wilson95_low_pct,heuristic_wilson95_high_pct,diff_rl_minus_heuristic_pp,diff_bca95_low_pp,diff_bca95_high_pp,both_success_n,heuristic_only_success_n,rl_only_success_n,both_failure_n,discordant_pairs_n,mcnemar_exact_p,mcnemar_holm_p,mcnemar_holm_reject_0_05
V3_F3_02,100,87,87.0,79.01964855992357,92.24283257275948,89,89.0,81.3687034969197,93.74580364293543,-2.0,-10.0,6.0,79,10,8,3,18,0.8145294189453125,1.0,False
BigRock,100,86,86.0,77.86281178903616,91.47365634006086,83,83.0,74.45199523239887,89.10643388594006,3.0,-5.0,12.0,75,8,11,6,19,0.6476058959960938,1.0,False
HardTerrain,100,95,95.0,88.82495307680807,97.84563208456319,90,90.0,82.56343384950866,94.47708629393249,5.0,-2.0,13.0,85,5,10,0,15,0.30175781249999994,0.9052734374999998,False
BumpyGround,100,31,31.0,22.77969721237604,40.62605571948941,70,70.0,60.41514536665332,78.10511470506724,-39.0,-50.0,-27.0,26,44,5,25,49,7.59715845788378e-09,4.5582950747302675e-08,True
Complete,100,19,19.0,12.514751509768734,27.778845379064375,49,49.0,39.421998930441134,58.65198806597283,-30.0,-40.0,-20.0,16,33,3,48,36,2.2721360437572002e-07,1.1360680218786001e-06,True
DeepHoles,100,17,17.0,10.893566114059931,25.548004767601125,42,42.0,32.798382674354734,51.79351329695703,-25.0,-36.0,-14.000000000000002,11,31,6,52,37,4.12575900554657e-05,0.0001650303602218628,True
